ejercicio_presupuestario,finalidad_id,finalidad_desc,funcion_id,funcion_desc,ultima_actualizacion_fecha
2026,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,Última actualización del ejercicio 2026: 06 Mayo 2026.
2026,1,ADMINISTRACION GUBERNAMENTAL,2,Judicial,Última actualización del ejercicio 2026: 06 Mayo 2026.
2026,1,ADMINISTRACION GUBERNAMENTAL,3,Dirección Superior Ejecutiva,Última actualización del ejercicio 2026: 06 Mayo 2026.
2026,1,ADMINISTRACION GUBERNAMENTAL,4,Relaciones Exteriores,Última actualización del ejercicio 2026: 06 Mayo 2026.
2026,1,ADMINISTRACION GUBERNAMENTAL,5,Relaciones Interiores,Última actualización del ejercicio 2026: 06 Mayo 2026.
2026,1,ADMINISTRACION GUBERNAMENTAL,6,Administración Fiscal,Última actualización del ejercicio 2026: 06 Mayo 2026.
2026,1,ADMINISTRACION GUBERNAMENTAL,7,Control de la Gestión Pública,Última actualización del ejercicio 2026: 06 Mayo 2026.
2026,1,ADMINISTRACION GUBERNAMENTAL,8,Información y Estadística Básicas,Última actualización del ejercicio 2026: 06 Mayo 2026.
2026,2,SERVICIOS DE DEFENSA Y SEGURIDAD,1,Defensa,Última actualización del ejercicio 2026: 06 Mayo 2026.
2026,2,SERVICIOS DE DEFENSA Y SEGURIDAD,2,Seguridad Interior,Última actualización del ejercicio 2026: 06 Mayo 2026.
2026,2,SERVICIOS DE DEFENSA Y SEGURIDAD,3,Sistema Penal,Última actualización del ejercicio 2026: 06 Mayo 2026.
2026,2,SERVICIOS DE DEFENSA Y SEGURIDAD,4,Inteligencia,Última actualización del ejercicio 2026: 06 Mayo 2026.
2026,3,SERVICIOS SOCIALES,1,Salud,Última actualización del ejercicio 2026: 06 Mayo 2026.
2026,3,SERVICIOS SOCIALES,2,Promoción y Asistencia Social,Última actualización del ejercicio 2026: 06 Mayo 2026.
2026,3,SERVICIOS SOCIALES,3,Seguridad Social,Última actualización del ejercicio 2026: 06 Mayo 2026.
2026,3,SERVICIOS SOCIALES,4,Educación y Cultura,Última actualización del ejercicio 2026: 06 Mayo 2026.
2026,3,SERVICIOS SOCIALES,5,"Ciencia, Tecnología e Innovación",Última actualización del ejercicio 2026: 06 Mayo 2026.
2026,3,SERVICIOS SOCIALES,6,Trabajo,Última actualización del ejercicio 2026: 06 Mayo 2026.
2026,3,SERVICIOS SOCIALES,7,Vivienda y Urbanismo,Última actualización del ejercicio 2026: 06 Mayo 2026.
2026,3,SERVICIOS SOCIALES,8,Agua Potable y Alcantarillado,Última actualización del ejercicio 2026: 06 Mayo 2026.
2026,4,SERVICIOS ECONOMICOS,1,"Energía, Combustibles y Minería",Última actualización del ejercicio 2026: 06 Mayo 2026.
2026,4,SERVICIOS ECONOMICOS,2,Comunicaciones,Última actualización del ejercicio 2026: 06 Mayo 2026.
2026,4,SERVICIOS ECONOMICOS,3,Transporte,Última actualización del ejercicio 2026: 06 Mayo 2026.
2026,4,SERVICIOS ECONOMICOS,4,Ecología y Desarrollo Sostenible,Última actualización del ejercicio 2026: 06 Mayo 2026.
2026,4,SERVICIOS ECONOMICOS,5,"Agricultura, Ganadería y Pesca",Última actualización del ejercicio 2026: 06 Mayo 2026.
2026,4,SERVICIOS ECONOMICOS,6,Industria,Última actualización del ejercicio 2026: 06 Mayo 2026.
2026,4,SERVICIOS ECONOMICOS,7,"Comercio, Turismo y Otros Servicios",Última actualización del ejercicio 2026: 06 Mayo 2026.
2026,4,SERVICIOS ECONOMICOS,8,Seguros y Finanzas,Última actualización del ejercicio 2026: 06 Mayo 2026.
2026,5,DEUDA PUBLICA,1,Servicio de la Deuda Pública,Última actualización del ejercicio 2026: 06 Mayo 2026.
