ejercicio_presupuestario,ingreso,gasto,pib
2004,73088992527.81,64275348874.46,485115194724.76
2005,88878568201.70,86839239638.66,582538172937.28
2006,112567493157.48,105892944576.18,715904271733.85
2007,147464940710.26,142421084734.26,896980174071.90
2008,200098757659.98,192974144881.68,1149646090583.64
2009,240485449710.37,249914092109.16,1247929268925.02
2010,327153981259.29,329034159598.73,1661720925944.58
2011,407334559064.59,450548236353.58,2179024103630.78
2012,512760626122.84,561832951006.12,2637913848215.55
2013,665876772374.70,750934912933.45,3348308488227.21
2014,944178033118.60,1134364215251.05,4579086425410.10
2015,1212308004194.54,1431662126696.39,5954510895692.34
2016,1659383428221.10,2131113256017.30,8228159556536.43
2017,1947405385713.59,2564004560855.14,10644778799189.10
2018,2485244086892.52,3298979473437.35,14605790348987.90
2019,3896199040414.45,4762089423553.77,21447249859798.70
2020,5981828289038.48,7001429328770.12,27481439970000.00
2021,8667375527755.49,10763163930565.59,46282066000543.80
2022,13044111385172.41,17527870159630.51,82436434000000.00
2023,29069101423421.34,38025489070064.71,189780357045263.00
2024,89157234926599.59,90355659974079.51,579245803200000.00
